id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
2,0219C,0219C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,179,Gjakovë
2,0219C,0219C/02R,144,LËVIZJA VETËVENDOSJE!,10,Gjakovë
2,0219C,0219C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,153,Gjakovë
2,0219C,0219C/03D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,109,Gjakovë
2,0219C,0219C/03D,144,LËVIZJA VETËVENDOSJE!,8,Gjakovë
2,0219C,0219C/01R,144,LËVIZJA VETËVENDOSJE!,17,Gjakovë
2,0220C,0220C/01D,144,LËVIZJA VETËVENDOSJE!,25,Gjakovë
2,0220C,0220C/01D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,315,Gjakovë
2,0221C,0221C/03D,144,LËVIZJA VETËVENDOSJE!,13,Gjakovë
2,0221C,0221C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,175,Gjakovë
2,0221C,0221C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,194,Gjakovë
2,0221C,0221C/02R,144,LËVIZJA VETËVENDOSJE!,55,Gjakovë
2,0221C,0221C/03D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,123,Gjakovë
2,0221C,0221C/01R,144,LËVIZJA VETËVENDOSJE!,27,Gjakovë
2,0222C,0222C/01R,144,LËVIZJA VETËVENDOSJE!,23,Gjakovë
2,0222C,0222C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,142,Gjakovë
2,0222C,0222C/05D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,93,Gjakovë
2,0222C,0222C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,135,Gjakovë
2,0222C,0222C/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,153,Gjakovë
2,0222C,0222C/04R,144,LËVIZJA VETËVENDOSJE!,13,Gjakovë
2,0222C,0222C/03R,144,LËVIZJA VETËVENDOSJE!,24,Gjakovë
2,0222C,0222C/02R,144,LËVIZJA VETËVENDOSJE!,37,Gjakovë
2,0222C,0222C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,164,Gjakovë
2,0222C,0222C/05D,144,LËVIZJA VETËVENDOSJE!,21,Gjakovë
2,0223C,0223C/03D,144,LËVIZJA VETËVENDOSJE!,31,Gjakovë
2,0223C,0223C/02R,144,LËVIZJA VETËVENDOSJE!,58,Gjakovë
2,0223C,0223C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,164,Gjakovë
2,0223C,0223C/03D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,115,Gjakovë
2,0223C,0223C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,207,Gjakovë
2,0223C,0223C/01R,144,LËVIZJA VETËVENDOSJE!,64,Gjakovë
2,0224C,0224C/03D,144,LËVIZJA VETËVENDOSJE!,26,Gjakovë
2,0224C,0224C/01R,144,LËVIZJA VETËVENDOSJE!,30,Gjakovë
2,0224C,0224C/03D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,141,Gjakovë
2,0224C,0224C/02R,144,LËVIZJA VETËVENDOSJE!,16,Gjakovë
2,0224C,0224C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,151,Gjakovë
2,0224C,0224C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,175,Gjakovë
2,0225C,0225C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,268,Gjakovë
2,0225C,0225C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,214,Gjakovë
2,0225C,0225C/02R,144,LËVIZJA VETËVENDOSJE!,40,Gjakovë
2,0225C,0225C/03R,144,LËVIZJA VETËVENDOSJE!,35,Gjakovë
2,0225C,0225C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,236,Gjakovë
2,0225C,0225C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,227,Gjakovë
2,0225C,0225C/04D,144,LËVIZJA VETËVENDOSJE!,46,Gjakovë
2,0225C,0225C/01R,144,LËVIZJA VETËVENDOSJE!,33,Gjakovë
2,0226C,0226C/03R,144,LËVIZJA VETËVENDOSJE!,51,Gjakovë
2,0226C,0226C/04D,144,LËVIZJA VETËVENDOSJE!,70,Gjakovë
2,0226C,0226C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,138,Gjakovë
2,0226C,0226C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,152,Gjakovë
2,0226C,0226C/01R,144,LËVIZJA VETËVENDOSJE!,34,Gjakovë
2,0226C,0226C/02R,144,LËVIZJA VETËVENDOSJE!,26,Gjakovë
2,0226C,0226C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,133,Gjakovë
