Candidate,Gender,Party_ID,Party,Acronym,Votes
REXHEP HYSENI,M,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,99
REXHEP KADRIU,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,5860
REXHEP KRUEZIU,M,18,PARTIA ROME E BASHKUAR E KOSOVËS,,27
REXHEP MAZRREKU,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,3396
REXHEP SELIMI,M,16,LËVIZJA VETËVENDOSJE!,,16098
RIAD RASHITI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,2752
RIFAT DERI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,238
RİFAT KRASNİÇ,M,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,1442
RINOR KELMENDI,M,15,FJALA,,249
RRAHIM TËRNAVA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,5168
RREZARTA KRASNIQI,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,8854
RREZARTA SADIKU HYSA,F,19,PARTIA EUROATLANTIKE E KOSOVËS,,113
RRUSTEM BAJRAKTARI,M,19,PARTIA EUROATLANTIKE E KOSOVËS,,40
