id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
36,AVDULLAH HOTI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,6,Partesh
36,AVDULLAH QAFANI,M,14,PARTIA LIBERALE EGJIPTIANE,,5,Partesh
36,AVDUSH BANUSHI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Partesh
36,AVDYL BERISHA,M,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,1,Partesh
36,AVNI ÇAKMAKU,M,19,FJALA,,0,Partesh
36,AVNI KLINAKU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,AVNI KOPILI,M,14,PARTIA LIBERALE EGJIPTIANE,,0,Partesh
36,AVNI MUJAJ,M,14,PARTIA LIBERALE EGJIPTIANE,,0,Partesh
36,AVNI TAFILI,M,25,Lëvizja VETËVENDOSJE!,,1,Partesh
36,AVNIJA BAHTIJARI,M,7,POKRET ZA GORA,,0,Partesh
36,AYSER LESKOVCİ,F,23,KOSOVA TÜRK ADALET PARTISI,,0,Partesh
36,BADISHA LALA,F,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Partesh
36,BAHRIE HAXHIU,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,BAHRIM ŠABANI,M,20,KOALICIJA VAKAT,,0,Partesh
36,BAHTIJE SYLEJMANI,F,24,KOALICIJA SDA,,0,Partesh
36,BAJRAM AJETI,M,25,Lëvizja VETËVENDOSJE!,,1,Partesh
36,BAJRAM GECAJ,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
