id,Polling Center,Polling Station,Candidate,Party_ID,Party,Acronym,Votes,Municipality
11,1116B,1116B/01R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,50,Mitrovicë
11,1116B,1116B/03D,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1116B,1116B/02R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,6,Mitrovicë
11,1116B,1116B/03D,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,39,Mitrovicë
11,1116B,1116B/03D,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,82,Mitrovicë
11,1116B,1116B/01R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1116B,1116B/01R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,52,Mitrovicë
11,1116B,1116B/03D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,42,Mitrovicë
11,1116B,1116B/01R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,4,Mitrovicë
11,1116B,1116B/02R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,104,Mitrovicë
11,1116B,1116B/03D,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,6,Mitrovicë
11,1116B,1116B/02R,NYSTRET PRETENI,46,FJALA,,0,Mitrovicë
11,1116B,1116B/02R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,92,Mitrovicë
11,1116B,1116B/03D,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1116B,1116B/02R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1116B,1116B/02R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,89,Mitrovicë
11,1116B,1116B/01R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,110,Mitrovicë
11,1116B,1116B/03D,NYSTRET PRETENI,46,FJALA,,0,Mitrovicë
11,1116B,1116B/01R,BASRI BRAHIMI,14,BASRI BRAHIMI,,1,Mitrovicë
11,1116B,1116B/03D,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1116B,1116B/01R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,47,Mitrovicë
11,1116B,1116B/01R,MEHMET MEHMETI,30,ALTERNATIVA,,1,Mitrovicë
11,1116B,1116B/03D,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,30,Mitrovicë
11,1116B,1116B/01R,NYSTRET PRETENI,46,FJALA,,0,Mitrovicë
11,1117B,1117B/02D,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,5,Mitrovicë
11,1117B,1117B/02D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,58,Mitrovicë
11,1117B,1117B/01R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,104,Mitrovicë
11,1117B,1117B/02D,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,164,Mitrovicë
11,1117B,1117B/02D,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,70,Mitrovicë
11,1117B,1117B/02D,BASRI BRAHIMI,14,BASRI BRAHIMI,,1,Mitrovicë
11,1117B,1117B/02D,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,0,Mitrovicë
11,1117B,1117B/01R,NYSTRET PRETENI,46,FJALA,,1,Mitrovicë
11,1117B,1117B/01R,BASRI BRAHIMI,14,BASRI BRAHIMI,,1,Mitrovicë
11,1117B,1117B/01R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1,Mitrovicë
11,1117B,1117B/02D,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1117B,1117B/02D,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,106,Mitrovicë
11,1117B,1117B/02D,NYSTRET PRETENI,46,FJALA,,2,Mitrovicë
11,1117B,1117B/01R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,53,Mitrovicë
11,1117B,1117B/01R,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1117B,1117B/01R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,17,Mitrovicë
11,1117B,1117B/01R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1117B,1117B/01R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,67,Mitrovicë
11,1117B,1117B/01R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,101,Mitrovicë
11,1117B,1117B/02D,MEHMET MEHMETI,30,ALTERNATIVA,,1,Mitrovicë
11,1118B,1118B/01D,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,1,Mitrovicë
11,1118B,1118B/01D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,3,Mitrovicë
