id,Polling Center,Candidate,Party_ID,Party,Acronym,Votes,Municipality
10,1006D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,53,Kamenicë
10,1006D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,57,Kamenicë
10,1007D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Kamenicë
10,1007D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,10,Kamenicë
10,1007D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,34,Kamenicë
10,1007D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,14,Kamenicë
10,1007D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,48,Kamenicë
10,1007D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,37,Kamenicë
10,1008D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,7,Kamenicë
10,1008D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,10,Kamenicë
10,1008D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,25,Kamenicë
10,1008D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,112,Kamenicë
10,1008D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,307,Kamenicë
10,1008D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,231,Kamenicë
10,1009D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,4,Kamenicë
10,1009D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,49,Kamenicë
10,1009D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,110,Kamenicë
10,1009D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,279,Kamenicë
10,1009D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,511,Kamenicë
10,1009D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,620,Kamenicë
10,1010D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,4,Kamenicë
10,1010D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,25,Kamenicë
10,1010D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,71,Kamenicë
10,1010D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,17,Kamenicë
10,1010D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,26,Kamenicë
