Candidate,Gender,Party_ID,Party,Acronym,Votes
FARUSH KALANICA,M,112,NISMA QYTETARE PËR FERIZAJ,,22
FATA KADOLLI,F,61,LËVIZJA VETËVENDOSJE!,,26
FATA ZATRIQI,F,92,BSDAK - BOŠNJACKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,,1
FATBARDHA EMINI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,90
FATBARDHA GASHI,F,70,Partia e Drejtësisë - PD,,33
FATBARDHA MALIQI,F,89,AKR - ALEANCA KOSOVA E RE,,83
FATBARDHA QORRI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,36
FATBARDHA SELMANI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,19
FATBARDHA SELMANI,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,264
FATBARDHE SOPAJ,F,61,LËVIZJA VETËVENDOSJE!,,33
FATI KROQI,M,63,PK - PARTIA KONSERVATORE E KOSOVËS,,31
FATIMA VELIJA,F,50,VAKAT - KOALICIJA VAKAT,,47
FATIME ADEMAJ,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,206
FATIME AHMETI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,67
FATIME AMETI,F,89,AKR - ALEANCA KOSOVA E RE,,4
FATIME BEKTESHI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,94
FATIME BYTYQI,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,37
FATIME DRINI,F,61,LËVIZJA VETËVENDOSJE!,,12
FATIME HAZIRI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,168
FATIME HYSENAJ,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,28
FATIME KORENICA,F,70,Partia e Drejtësisë - PD,,19
FATIME LIKA,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,48
FATIME LUTA-OSMANI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,55
FATIME MEMA,F,89,AKR - ALEANCA KOSOVA E RE,,35
FATIME OSMANI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,124
FATIME SABEDINOVIQ,F,70,Partia e Drejtësisë - PD,,21
FATIME SADIKU,F,70,Partia e Drejtësisë - PD,,8
