id,Party_ID,Party,Votes,Municipality
25,144,LËVIZJA VETËVENDOSJE!,9943,Ferizaj
25,149,ALEANCA KOSOVA E RE,713,Ferizaj
25,160,LIDHJA DEMOKRATIKE E KOSOVËS,5228,Ferizaj
25,164,REFORMIMI DEMOKRATIK PËR FERIZAJN,1866,Ferizaj
25,177,PARTIA DEMOKRATIKE E KOSOVËS,19371,Ferizaj
25,178,LISTA E ASHKALIVE,667,Ferizaj
26,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,754,Viti
26,144,LËVIZJA VETËVENDOSJE!,5188,Viti
26,149,ALEANCA KOSOVA E RE,269,Viti
26,154,ORGANIZATA BALLI KOMBËTAR DEMOKRAT,74,Viti
26,160,LIDHJA DEMOKRATIKE E KOSOVËS,7517,Viti
26,177,PARTIA DEMOKRATIKE E KOSOVËS,5114,Viti
27,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,315,Vushtrri
27,119,NISMA SOCIALDEMOKRATE,564,Vushtrri
27,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1186,Vushtrri
27,140,LËVIZJA PËR BASHKIM,665,Vushtrri
27,144,LËVIZJA VETËVENDOSJE!,6824,Vushtrri
27,147,SRPSKA LISTA,846,Vushtrri
27,160,LIDHJA DEMOKRATIKE E KOSOVËS,8602,Vushtrri
27,177,PARTIA DEMOKRATIKE E KOSOVËS,8677,Vushtrri
28,144,LËVIZJA VETËVENDOSJE!,262,Zubin Potoku
28,147,SRPSKA LISTA,3144,Zubin Potoku
28,160,LIDHJA DEMOKRATIKE E KOSOVËS,161,Zubin Potoku
28,177,PARTIA DEMOKRATIKE E KOSOVËS,113,Zubin Potoku
28,181,GRAĐANSKA INICIJATIVA ZUBIN POTOK,176,Zubin Potoku
29,137,SLADJANA PANTOVIĆ,35,Zveçan
29,144,LËVIZJA VETËVENDOSJE!,31,Zveçan
29,147,SRPSKA LISTA,5388,Zveçan
29,177,PARTIA DEMOKRATIKE E KOSOVËS,156,Zveçan
30,119,NISMA SOCIALDEMOKRATE,7004,Malishevë
30,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1028,Malishevë
30,141,SELAJDIN BYTYҪI,58,Malishevë
30,144,LËVIZJA VETËVENDOSJE!,3292,Malishevë
30,160,LIDHJA DEMOKRATIKE E KOSOVËS,3794,Malishevë
30,177,PARTIA DEMOKRATIKE E KOSOVËS,5809,Malishevë
31,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1319,Junik
31,144,LËVIZJA VETËVENDOSJE!,491,Junik
31,160,LIDHJA DEMOKRATIKE E KOSOVËS,1164,Junik
31,177,PARTIA DEMOKRATIKE E KOSOVËS,70,Junik
32,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,1430,Mamushë
32,117,KOSOVA ADALET TÜRK PARTİSİ,1078,Mamushë
32,144,LËVIZJA VETËVENDOSJE!,89,Mamushë
32,156,INICIATIVA ERDEM,28,Mamushë
32,177,PARTIA DEMOKRATIKE E KOSOVËS,91,Mamushë
33,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1001,Hani i Elezit
33,144,LËVIZJA VETËVENDOSJE!,1016,Hani i Elezit
33,160,LIDHJA DEMOKRATIKE E KOSOVËS,1004,Hani i Elezit
33,177,PARTIA DEMOKRATIKE E KOSOVËS,1654,Hani i Elezit
34,147,SRPSKA LISTA,7093,Graçanicë
34,153,ALEANCA SHQIPTARE,342,Graçanicë
34,166,SHQIPTARËT E BASHKUAR,161,Graçanicë
35,147,SRPSKA LISTA,2184,Ranillug
36,115,JUGOSLAV JOVANOVIĆ,28,Partesh
36,147,SRPSKA LISTA,1769,Partesh
36,161,NARODNA SLOGA,262,Partesh
37,120,INICIATIVA QYTETARE PËR MOGILLËN,148,Kllokot
37,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,46,Kllokot
37,128,INICIATIVA QYTETARE PËR KLLOKOT,87,Kllokot
37,144,LËVIZJA VETËVENDOSJE!,149,Kllokot
37,147,SRPSKA LISTA,727,Kllokot
37,152,NARODNO JEDINSTVO,222,Kllokot
37,160,LIDHJA DEMOKRATIKE E KOSOVËS,130,Kllokot
37,177,PARTIA DEMOKRATIKE E KOSOVËS,107,Kllokot
37,187,GI SRPSKA NARODNA SLOGA,351,Kllokot
38,101,G.I SRPSKI OPSTANAK,2,Mitrovicë e Veriut
38,147,SRPSKA LISTA,56,Mitrovicë e Veriut
38,189,"INICIATIVA QYTETARE ""MITROVICA""",40,Mitrovicë e Veriut
38,101,G.I SRPSKI OPSTANAK,207,Mitrovicë e Veriut
38,147,SRPSKA LISTA,10092,Mitrovicë e Veriut
38,189,"INICIATIVA QYTETARE ""MITROVICA""",983,Mitrovicë e Veriut
