id,Polling Center,Party_ID,Party,Acronym,Votes,Municipality
1,0112C,114,Yenilikçi Türk Hareket Partisi,YTHP,1,Deçan
1,0112C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,0,Deçan
1,0112C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0112C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0112C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0112C,119,Srpska Lista,SL,0,Deçan
1,0112C,120,Partia Balliste,PB,0,Deçan
1,0112C,121,Nisma Socialdemokrate,NISMA,4,Deçan
1,0112C,122,Koalicija Zajeno,KZ,0,Deçan
1,0112C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,0,Deçan
1,0112C,124,Romani Iniciyativa,RI,0,Deçan
1,0112C,125,Socialdemokratska Unija,SDU,0,Deçan
1,0112C,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,0112C,127,Lëvizja VETËVENDOSJE!,LV,82,Deçan
1,0112C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,0112C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0112C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0112C,131,Nova Demokratska Stranka,NDS,0,Deçan
1,0112C,132,Lidhja Demokratike e Kosovës,LDK,36,Deçan
1,0112C,133,Naša Inicijativa,NAŠA,0,Deçan
1,0112C,134,Partia Demokratike e Kosovës,PDK,44,Deçan
1,0112C,135,Aleanca për Ardhmërinë e Kosovës,AAK,203,Deçan
1,0112C,136,Partia Liberale Egjiptiane,PLE,0,Deçan
1,0112C,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0112C,138,FJALA,FJALA,2,Deçan
1,0113C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
1,0113C,112,Kosova Demokratik Türk Partisi,KDTP,1,Deçan
1,0113C,113,Koalicija VAKAT,VAKAT,1,Deçan
1,0113C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0113C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,0,Deçan
