id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
5,0517A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,31,Dragash
5,0517A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,45,Dragash
5,0518A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,238,Dragash
5,0518A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,232,Dragash
5,0519A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,48,Dragash
5,0519A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,40,Dragash
5,0520A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,47,Dragash
5,0520A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,96,Dragash
5,0521A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,47,Dragash
5,0521A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,58,Dragash
5,0522A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,129,Dragash
5,0522A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,84,Dragash
5,0523A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,402,Dragash
5,0523A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,245,Dragash
5,0524A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,226,Dragash
5,0524A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,190,Dragash
5,0525A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,41,Dragash
5,0525A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,29,Dragash
5,0526A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,103,Dragash
5,0526A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,161,Dragash
5,0527A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,77,Dragash
5,0527A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,27,Dragash
5,0528A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,97,Dragash
5,0528A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,75,Dragash
5,0529A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,15,Dragash
5,0529A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,12,Dragash
5,0530A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,13,Dragash
5,0530A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,12,Dragash
5,0531A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,12,Dragash
5,0531A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,45,Dragash
5,0532A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,42,Dragash
5,0532A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,70,Dragash
