id,Polling Center,Party_ID,Party,Votes,Municipality
1,0110C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0110C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0110C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0110C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0110C,14,PARTIA LIBERALE EGJIPTIANE  %,0,Deçan
1,0110C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0110C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0110C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0110C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0110C,19,FJALA,1,Deçan
1,0110C,20,KOALICIJA VAKAT,0,Deçan
1,0110C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0110C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0110C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0110C,24,KOALICIJA SDA,0,Deçan
1,0110C,25,Lëvizja VETËVENDOSJE!,77,Deçan
1,0110C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0111C,1,JEDINSTVENA GORANSKA PARTIJA,3,Deçan
1,0111C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,703,Deçan
1,0111C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,1,Deçan
1,0111C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0111C,5,GRAĐANSKA INICIJATIVA GORE,1,Deçan
1,0111C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,105,Deçan
1,0111C,7,POKRET ZA GORA,0,Deçan
1,0111C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0111C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,Deçan
1,0111C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0111C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0111C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0111C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0111C,14,PARTIA LIBERALE EGJIPTIANE  %,0,Deçan
1,0111C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0111C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0111C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0111C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0111C,19,FJALA,3,Deçan
1,0111C,20,KOALICIJA VAKAT,0,Deçan
1,0111C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0111C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0111C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0111C,24,KOALICIJA SDA,2,Deçan
1,0111C,25,Lëvizja VETËVENDOSJE!,50,Deçan
1,0111C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0112C,1,JEDINSTVENA GORANSKA PARTIJA,0,Deçan
1,0112C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,328,Deçan
1,0112C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,0,Deçan
1,0112C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0112C,5,GRAĐANSKA INICIJATIVA GORE,0,Deçan
1,0112C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,42,Deçan
1,0112C,7,POKRET ZA GORA,0,Deçan
1,0112C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0112C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,Deçan
1,0112C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0112C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0112C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0112C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0112C,14,PARTIA LIBERALE EGJIPTIANE  %,0,Deçan
1,0112C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0112C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0112C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0112C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0112C,19,FJALA,1,Deçan
1,0112C,20,KOALICIJA VAKAT,0,Deçan
1,0112C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
